URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/condition-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.162",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-diagnose-primaertumor","THO"
http://hl7.org/fhir/ValueSet/condition-cause,4.0.1,draft,"2.16.840.1.113883.4.642.3.965",ConditionCauseCodes,Condition Cause Codes,"Example value set for Cause of Condition codes","StructureDefinition/mii-pr-onko-diagnose-primaertumor","SCT"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-diagnose-primaertumor","THO"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-systemische-therapie,StructureDefinition/mii-pr-onko-strahlentherapie,StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin,StructureDefinition/mii-pr-onko-krk-stoma-markierung,StructureDefinition/mii-pr-onko-mamma-praeoperative-markierung,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie,StructureDefinition/mii-pr-onko-krk-operation,StructureDefinition/mii-pr-onko-systemische-therapie-medikation,StructureDefinition/mii-pr-onko-therapieempfehlung-medikation,StructureDefinition/mii-pr-onko-diagnose-primaertumor","SCT"
http://hl7.org/fhir/ValueSet/condition-predecessor,4.0.1,draft,"2.16.840.1.113883.4.642.3.966",ConditionPredecessorCodes,Condition Predecessor Codes,"Example value set for condition predecessor codes.","StructureDefinition/mii-pr-onko-diagnose-primaertumor","SCT"
http://hl7.org/fhir/ValueSet/condition-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.168",Condition/DiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-diagnose-primaertumor","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,4.0.1,draft,"2.16.840.1.113883.4.642.3.170",ConditionStage,Condition Stage,"Example value set for stages of cancer and other conditions.","StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-diagnose-primaertumor","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-diagnose-primaertumor","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-diagnose-primaertumor","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/mii-pr-onko-melanom-ulzeration,StructureDefinition/mii-pr-onko-prostate-psa,StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-ecog,StructureDefinition/mii-pr-onko-prostate-gleason-grade-group,StructureDefinition/mii-pr-onko-anzahl-befallene-lymphknoten,StructureDefinition/mii-pr-onko-melanom-breslow-tiefe,StructureDefinition/mii-pr-onko-tnm-a-symbol,StructureDefinition/mii-pr-onko-anzahl-befallene-sentinel-lymphknoten,StructureDefinition/mii-pr-onko-tnm-m-kategorie,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-progesteron,StructureDefinition/mii-pr-onko-krk-abstand-aboral,StructureDefinition/mii-pr-onko-krk-abstand-circumferelle-resektionsebene,StructureDefinition/mii-pr-onko-tnm-pn-kategorie,StructureDefinition/mii-pr-onko-krk-abstand-anokutan,StructureDefinition/mii-pr-onko-asa-klassifikation,StructureDefinition/mii-pr-onko-krk-anastomoseninsuffizienz,StructureDefinition/mii-pr-onko-tnm-t-kategorie,StructureDefinition/mii-pr-onko-melanom-ldh,StructureDefinition/mii-pr-onko-tnm-n-kategorie,StructureDefinition/mii-pr-onko-krk-mrt-mesorektale-faszie,StructureDefinition/mii-pr-onko-prostate-clavien-dindo,StructureDefinition/mii-pr-onko-tod,StructureDefinition/mii-pr-onko-mamma-menopause-status,StructureDefinition/mii-pr-onko-studienteilnahme,StructureDefinition/mii-pr-onko-mamma-her2neu-status,StructureDefinition/mii-pr-onko-genetische-variante,StructureDefinition/mii-pr-onko-verlauf,StructureDefinition/mii-pr-onko-tnm-y-symbol,StructureDefinition/mii-pr-onko-fernmetastasen,StructureDefinition/mii-pr-onko-tnm-s-kategorie,StructureDefinition/mii-pr-onko-tnm-klassifikation,StructureDefinition/mii-pr-onko-prostate-ca-befall-stanze,StructureDefinition/mii-pr-onko-weitere-klassifikationen,StructureDefinition/mii-pr-onko-prostate-gleason-patterns,StructureDefinition/mii-pr-onko-tnm-r-symbol,StructureDefinition/mii-pr-onko-anzahl-untersuchte-lymphknoten,StructureDefinition/mii-pr-onko-melanom-sicherheitsabstand,StructureDefinition/mii-pr-onko-tnm-m-symbol,StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-karnofsky,StructureDefinition/mii-pr-onko-prostate-gleason-score-gesamt,StructureDefinition/mii-pr-onko-tnm-klassifikation-synthetisiert,StructureDefinition/mii-pr-onko-grading,StructureDefinition/mii-pr-onko-histologie-icdo3,StructureDefinition/mii-pr-onko-tumorgroesse,StructureDefinition/mii-pr-onko-residualstatus,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-estrogen,StructureDefinition/mii-pr-onko-tnm-l-kategorie,StructureDefinition/mii-pr-onko-prostate-anzahl-positive-stanzen,StructureDefinition/mii-pr-onko-prostate-anzahl-stanzen,StructureDefinition/mii-pr-onko-anzahl-untersuchte-sentinel-lymphknoten,StructureDefinition/mii-pr-onko-tnm-v-kategorie","THO"
